6.08.2021	21:00:56	15,48	3,85	255,69	13,49	16,75	3,26	52,33
6.08.2021	22:00:56	15,27	3,92	257,87	28,35	32,27	3,92	37,31
6.08.2021	23:00:56	17,27	3,86	316,90	65,11	75,49	10,38	13,61
7.08.2021	00:00:56	20,11	3,72	334,30	61,18	69,73	8,55	12,96
7.08.2021	01:00:56	35,78	3,03	330,13	65,68	75,45	9,77	7,75
7.08.2021	02:00:56	25,27	2,84	283,35	46,68	53,03	6,35	13,54
7.08.2021	03:00:56	26,46	2,76	298,57	45,61	51,51	5,90	15,03
7.08.2021	04:00:56	29,62	2,70	280,52	44,33	50,36	6,03	13,30
7.08.2021	05:00:56	22,60	2,70	265,59	39,89	46,14	6,25	11,07
7.08.2021	06:00:56	25,89	2,65	270,93	51,55	62,39	10,84	5,56
7.08.2021	07:00:56	36,16	2,67	294,75	55,61	68,65	13,04	9,29
7.08.2021	08:00:56	33,18	2,52	268,81	43,53	56,80	13,27	28,00
7.08.2021	09:00:56	26,56	2,75	255,76	38,04	51,55	13,51	41,29
7.08.2021	10:00:56	20,70	2,80	202,94	15,18	22,07	6,89	61,31
7.08.2021	11:00:56	23,92	2,88	194,68	9,44	16,49	7,05	71,09
7.08.2021	12:00:56	25,03	3,07	189,28	9,99	16,57	6,58	69,80
7.08.2021	13:00:56	29,42	3,12	185,44	4,41	7,96	3,55	70,76
7.08.2021	14:00:56	28,23	3,06	196,24	4,23	7,27	3,04	72,72
7.08.2021	15:00:56	23,28	3,22	207,35	3,65	6,14	2,49	73,08
7.08.2021	16:00:56	23,55	3,28	230,75	3,65	6,24	2,59	78,07
7.08.2021	17:00:56	20,88	3,46	257,71	3,47	5,86	2,39	82,50
7.08.2021	18:00:56	26,53	3,49	248,83	3,76	6,56	2,80	83,80
7.08.2021	19:00:56	31,93	3,49	270,65	5,62	8,14	2,52	84,25
7.08.2021	20:00:56	32,07	3,53	284,06	4,77	7,12	2,35	80,42
7.08.2021	21:00:56	33,89	3,52	289,12	6,65	9,02	2,37	70,49
7.08.2021	22:00:56	30,16	3,61	294,10	9,31	12,70	3,39	65,91
7.08.2021	23:00:56	26,37	3,69	224,24	19,45	22,64	3,19	76,71
8.08.2021	00:00:56	20,12	3,62	221,55	21,84	24,42	2,58	67,80
8.08.2021	01:00:56	25,32	3,12	216,75	29,05	31,85	2,80	58,44
8.08.2021	02:00:56	24,98	3,17	221,09	26,96	29,79	2,83	50,68
8.08.2021	03:00:56	18,36	3,24	197,48	23,00	26,12	3,12	39,75
8.08.2021	04:00:56	17,01	3,06	188,19	23,13	26,50	3,37	32,65
8.08.2021	05:00:56	23,00	3,32	191,35	36,24	40,96	4,72	20,52
8.08.2021	06:00:56	19,39	3,38	191,83	41,87	50,16	8,29	11,04
8.08.2021	07:00:56	28,85	3,86	224,79	54,59	75,77	21,18	5,75
8.08.2021	08:00:56	21,69	4,84	237,20	49,32	64,84	15,52	23,93
8.08.2021	09:00:56	20,24	8,18	192,24	44,60	55,76	11,16	55,76
8.08.2021	10:00:56	15,22	28,53	210,82	101,42	150,38	48,96	42,70
8.08.2021	11:00:56	16,08	10,40	331,06	29,72	38,06	8,34	78,36
8.08.2021	12:00:56	18,87	6,53	173,44	14,71	19,46	4,75	93,49
8.08.2021	13:00:56	25,21	5,29	158,40	11,08	15,23	4,15	93,83
8.08.2021	14:00:56	20,33	4,72	170,94	9,00	12,53	3,53	90,02
8.08.2021	15:00:56	17,30	4,57	290,75	10,02	13,53	3,51	88,07
8.08.2021	16:00:56	12,60	4,84	271,78	11,46	14,98	3,52	93,85
8.08.2021	17:00:56	11,82	4,42	183,32	8,10	10,94	2,84	95,29
8.08.2021	18:00:56	14,40	4,35	199,82	7,64	10,26	2,62	95,78
8.08.2021	19:00:56	26,47	4,83	174,25	10,36	13,11	2,75	97,81
8.08.2021	20:00:56	21,96	4,17	184,66	15,03	17,97	2,94	79,66
8.08.2021	21:00:56	17,03	3,68	244,55	32,96	37,19	4,23	52,01
8.08.2021	22:00:56	18,72	3,53	294,31	31,39	36,30	4,91	48,71
8.08.2021	23:00:56	18,10	4,23	282,64	41,76	46,38	4,62	39,42
9.08.2021	00:00:56	17,76	4,78	304,20	70,38	76,96	6,58	20,92
9.08.2021	01:00:56	20,26	4,46	211,02	59,94	65,88	5,94	27,66
9.08.2021	02:00:56	19,47	4,65	167,06	45,96	51,00	5,04	37,30
9.08.2021	03:00:56	17,14	4,99	157,12	35,14	39,95	4,81	43,73
9.08.2021	04:00:56	12,45	5,26	146,84	29,03	33,34	4,31	41,19
9.08.2021	05:00:56	9,26	5,44	153,52	39,25	43,89	4,64	31,32
9.08.2021	06:00:56	9,98	5,09	142,04	34,13	39,56	5,43	38,65
9.08.2021	07:00:56	24,63	5,05	137,25	46,33	54,39	8,06	29,86
9.08.2021	08:00:56	17,29	5,64	186,28	66,33	84,39	18,06	25,82
9.08.2021	09:00:56	15,07	5,46	197,21	57,24	75,07	17,83	51,71
9.08.2021	10:00:56	16,19	4,66	144,16	14,52	20,57	6,05	91,09
9.08.2021	11:00:56	19,49	5,52	140,61	11,14	15,48	4,34	96,08
9.08.2021	12:00:56	15,80	4,33	148,93	10,50	14,24	3,74	91,02
9.08.2021	13:00:56	24,15	4,52	139,42	6,79	9,52	2,73	93,62
9.08.2021	14:00:56	21,73	4,82	137,74	8,65	11,56	2,91	94,81
9.08.2021	15:00:56	23,31	5,10	130,19	6,57	8,96	2,39	95,79
9.08.2021	16:00:56	18,91	5,70	218,19	12,09	14,93	2,84	94,91
9.08.2021	17:00:56	14,83	6,25	121,69	9,84	12,48	2,64	98,90
9.08.2021	18:00:56	12,61	7,17	318,98	17,17	20,17	3,00	93,06
9.08.2021	19:00:56	18,17	5,62	116,03	13,61	16,48	2,87	93,56
9.08.2021	20:00:56	17,64	4,85	131,36	15,41	18,49	3,08	84,69
9.08.2021	21:00:56	15,41	4,73	174,76	33,38	36,89	3,51	63,21
9.08.2021	22:00:56	19,18	12,14	260,39	92,17	102,22	10,05	19,30
9.08.2021	23:00:56	17,55	8,66	302,97	88,50	101,35	12,85	14,84
10.08.2021	00:00:56	18,16	7,65	335,41	98,96	116,28	17,32	8,38
10.08.2021	01:00:56	29,80	6,18	284,40	83,72	94,55	10,83	9,97
10.08.2021	02:00:56	27,63	6,10	291,53	70,53	81,07	10,54	11,59
10.08.2021	03:00:56	21,44	6,21	279,11	61,77	75,78	14,01	14,39
10.08.2021	04:00:56	19,55	5,26	226,20	35,63	41,07	5,44	30,78
10.08.2021	05:00:56	18,05	4,69	208,06	29,29	34,09	4,80	33,79
10.08.2021	06:00:56	19,03	4,22	205,17	38,63	45,31	6,68	31,48
10.08.2021	07:00:56	17,83	4,21	222,07	52,72	62,28	9,56	21,16
10.08.2021	08:00:56	17,22	4,78	258,36	65,78	84,96	19,18	23,07
10.08.2021	09:00:56	17,89	5,87	259,58	52,61	66,70	14,09	46,31
10.08.2021	10:00:56	16,09	15,83	288,28	108,67	154,47	45,80	39,29
10.08.2021	11:00:56	25,16	9,76	240,90	29,65	37,64	7,99	89,05
10.08.2021	12:00:56	19,77	6,87	187,65	11,05	14,98	3,93	101,26
10.08.2021	13:00:56	26,25	5,66	187,92	8,54	11,42	2,88	100,07
10.08.2021	14:00:56	19,49	5,02	192,76	8,01	10,61	2,60	97,28
10.08.2021	15:00:56	15,28	4,80	183,07	7,20	9,65	2,45	91,13
10.08.2021	16:00:56	16,28	5,06	342,73	10,99	13,81	2,82	88,64
10.08.2021	17:00:56	17,34	4,69	369,02	10,04	12,74	2,70	84,30
10.08.2021	18:00:56	17,34	5,08	241,19	13,55	16,81	3,26	82,99
10.08.2021	19:00:56	27,40	4,67	193,55	6,50	8,67	2,17	81,64
10.08.2021	20:00:56	23,02	4,41	209,60	13,52	17,04	3,52	68,57
10.08.2021	21:00:56	19,09	4,24	308,57	67,49	74,53	7,04	31,15
10.08.2021	22:00:56	20,87	4,84	329,02	67,08	75,85	8,77	16,13
10.08.2021	23:00:56	20,80	5,35	363,08	93,77	138,43	44,66	
11.08.2021	00:00:56	20,00	6,66	375,26	100,08	141,93	41,85	
11.08.2021	01:00:56	24,96	6,23	319,74	80,80	103,00	22,20	6,34
11.08.2021	02:00:56	20,96	5,34	257,72	58,79	67,88	9,09	18,18
11.08.2021	03:00:56	19,78	4,56	225,43	46,85	53,95	7,10	23,62
11.08.2021	04:00:56	15,25	4,11	221,54	42,80	49,55	6,75	27,33
11.08.2021	05:00:56	15,40	8,43	245,52	49,93	56,73	6,80	24,90
11.08.2021	06:00:56	13,34	7,12	255,84	55,96	72,46	16,50	18,62
11.08.2021	07:00:56	19,90	6,81	260,67	74,90	101,07	26,17	7,95
11.08.2021	08:00:56	17,95	8,69	269,01	79,19	106,18	26,99	19,69
11.08.2021	09:00:56	18,92	24,27	290,78	43,60	56,39	12,79	54,35
11.08.2021	10:00:56	17,31	13,58	320,01	23,13	32,13	9,00	80,08
11.08.2021	11:00:56	20,82	10,13	390,54	15,77	20,44	4,67	88,59
11.08.2021	12:00:56	16,46	9,09	319,06	12,66	16,46	3,80	98,60
